date,publisher,base,quote,rate
2026-02-02,bcb_ptax,EUR,BRL,6.201600
2026-02-02,bcb_ptax,USD,BRL,5.258700
2026-02-02,ecb,EUR,BRL,6.222200
2026-02-02,ecb,EUR,CHF,0.919900
2026-02-02,ecb,EUR,GBP,0.865800
2026-02-02,ecb,EUR,USD,1.184000
2026-02-03,bcb_ptax,EUR,BRL,6.171200
2026-02-03,bcb_ptax,USD,BRL,5.223600
2026-02-03,ecb,EUR,BRL,6.168500
2026-02-03,ecb,EUR,CHF,0.917300
2026-02-03,ecb,EUR,GBP,0.862300
2026-02-03,ecb,EUR,USD,1.180100
2026-02-04,bcb_ptax,EUR,BRL,6.176800
2026-02-04,bcb_ptax,USD,BRL,5.235900
2026-02-04,ecb,EUR,BRL,6.170700
2026-02-04,ecb,EUR,CHF,0.916800
2026-02-04,ecb,EUR,GBP,0.861600
2026-02-04,ecb,EUR,USD,1.182000
2026-02-05,bcb_ptax,EUR,BRL,6.200200
2026-02-05,bcb_ptax,USD,BRL,5.258000
2026-02-05,ecb,EUR,BRL,6.205900
2026-02-05,ecb,EUR,CHF,0.916100
2026-02-05,ecb,EUR,GBP,0.869100
2026-02-05,ecb,EUR,USD,1.179800
2026-02-06,bcb_ptax,EUR,BRL,6.186700
2026-02-06,bcb_ptax,USD,BRL,5.234100
2026-02-06,ecb,EUR,BRL,6.176700
2026-02-06,ecb,EUR,CHF,0.917500
2026-02-06,ecb,EUR,GBP,0.867900
2026-02-06,ecb,EUR,USD,1.179400
2026-02-09,bcb_ptax,EUR,BRL,6.188000
2026-02-09,bcb_ptax,USD,BRL,5.194300
2026-02-09,ecb,EUR,BRL,6.172500
2026-02-09,ecb,EUR,CHF,0.915000
2026-02-09,ecb,EUR,GBP,0.870100
2026-02-09,ecb,EUR,USD,1.188600
2026-02-10,bcb_ptax,EUR,BRL,6.198300
2026-02-10,bcb_ptax,USD,BRL,5.202100
2026-02-10,ecb,EUR,BRL,6.192900
2026-02-10,ecb,EUR,CHF,0.912300
2026-02-10,ecb,EUR,GBP,0.869500
2026-02-10,ecb,EUR,USD,1.189400
2026-02-11,bcb_ptax,EUR,BRL,6.147700
2026-02-11,bcb_ptax,USD,BRL,5.183600
2026-02-11,ecb,EUR,BRL,6.175300
2026-02-11,ecb,EUR,CHF,0.913600
2026-02-11,ecb,EUR,GBP,0.869900
2026-02-11,ecb,EUR,USD,1.190000
2026-02-12,bcb_ptax,EUR,BRL,6.142500
2026-02-12,bcb_ptax,USD,BRL,5.167400
2026-02-12,ecb,EUR,BRL,6.146100
2026-02-12,ecb,EUR,CHF,0.914200
2026-02-12,ecb,EUR,GBP,0.871100
2026-02-12,ecb,EUR,USD,1.187400
2026-02-13,bcb_ptax,EUR,BRL,6.195600
2026-02-13,bcb_ptax,USD,BRL,5.228800
2026-02-13,ecb,EUR,BRL,6.191600
2026-02-13,ecb,EUR,CHF,0.912100
2026-02-13,ecb,EUR,GBP,0.871600
2026-02-13,ecb,EUR,USD,1.186200
2026-02-16,ecb,EUR,BRL,6.193500
2026-02-16,ecb,EUR,CHF,0.912900
2026-02-16,ecb,EUR,GBP,0.869000
2026-02-16,ecb,EUR,USD,1.185500
2026-02-17,ecb,EUR,BRL,6.178800
2026-02-17,ecb,EUR,CHF,0.911600
2026-02-17,ecb,EUR,GBP,0.873300
2026-02-17,ecb,EUR,USD,1.182600
2026-02-18,bcb_ptax,EUR,BRL,6.174600
2026-02-18,bcb_ptax,USD,BRL,5.234900
2026-02-18,ecb,EUR,BRL,6.186500
2026-02-18,ecb,EUR,CHF,0.912400
2026-02-18,ecb,EUR,GBP,0.872400
2026-02-18,ecb,EUR,USD,1.184500
2026-02-19,bcb_ptax,EUR,BRL,6.147500
2026-02-19,bcb_ptax,USD,BRL,5.225700
2026-02-19,ecb,EUR,BRL,6.151900
2026-02-19,ecb,EUR,CHF,0.911900
2026-02-19,ecb,EUR,GBP,0.873800
2026-02-19,ecb,EUR,USD,1.175300
2026-02-20,bcb_ptax,EUR,BRL,6.131000
2026-02-20,bcb_ptax,USD,BRL,5.200600
2026-02-20,ecb,EUR,BRL,6.135800
2026-02-20,ecb,EUR,CHF,0.913200
2026-02-20,ecb,EUR,GBP,0.872800
2026-02-20,ecb,EUR,USD,1.176700
2026-02-23,bcb_ptax,EUR,BRL,6.090300
2026-02-23,bcb_ptax,USD,BRL,5.163500
2026-02-23,ecb,EUR,BRL,6.105900
2026-02-23,ecb,EUR,CHF,0.914500
2026-02-23,ecb,EUR,GBP,0.873400
2026-02-23,ecb,EUR,USD,1.178400
2026-02-24,bcb_ptax,EUR,BRL,6.084500
2026-02-24,bcb_ptax,USD,BRL,5.168200
2026-02-24,ecb,EUR,BRL,6.096800
2026-02-24,ecb,EUR,CHF,0.912000
2026-02-24,ecb,EUR,GBP,0.873100
2026-02-24,ecb,EUR,USD,1.177700
2026-02-25,bcb_ptax,EUR,BRL,6.070900
2026-02-25,bcb_ptax,USD,BRL,5.144000
2026-02-25,ecb,EUR,BRL,6.043700
2026-02-25,ecb,EUR,CHF,0.913000
2026-02-25,ecb,EUR,GBP,0.871400
2026-02-25,ecb,EUR,USD,1.178400
2026-02-26,bcb_ptax,EUR,BRL,6.063100
2026-02-26,bcb_ptax,USD,BRL,5.138200
2026-02-26,ecb,EUR,BRL,6.055600
2026-02-26,ecb,EUR,CHF,0.914000
2026-02-26,ecb,EUR,GBP,0.871900
2026-02-26,ecb,EUR,USD,1.181400
2026-02-27,bcb_ptax,EUR,BRL,6.079500
2026-02-27,bcb_ptax,USD,BRL,5.149500
2026-02-27,ecb,EUR,BRL,6.086200
2026-02-27,ecb,EUR,CHF,0.910400
2026-02-27,ecb,EUR,GBP,0.876300
2026-02-27,ecb,EUR,USD,1.180500
2026-03-02,bcb_ptax,EUR,BRL,6.074200
2026-03-02,bcb_ptax,USD,BRL,5.200100
2026-03-02,ecb,EUR,BRL,6.090800
2026-03-02,ecb,EUR,CHF,0.911700
2026-03-02,ecb,EUR,GBP,0.873900
2026-03-02,ecb,EUR,USD,1.169800
2026-03-03,bcb_ptax,EUR,BRL,6.119700
2026-03-03,bcb_ptax,USD,BRL,5.287000
2026-03-03,ecb,EUR,BRL,6.085500
2026-03-03,ecb,EUR,CHF,0.910700
2026-03-03,ecb,EUR,GBP,0.871700
2026-03-03,ecb,EUR,USD,1.160600
2026-03-04,bcb_ptax,EUR,BRL,6.063900
2026-03-04,bcb_ptax,USD,BRL,5.209100
2026-03-04,ecb,EUR,BRL,6.080500
2026-03-04,ecb,EUR,CHF,0.908200
2026-03-04,ecb,EUR,GBP,0.870500
2026-03-04,ecb,EUR,USD,1.164900
2026-03-05,bcb_ptax,EUR,BRL,6.074900
2026-03-05,bcb_ptax,USD,BRL,5.244700
2026-03-05,ecb,EUR,BRL,6.097600
2026-03-05,ecb,EUR,CHF,0.906400
2026-03-05,ecb,EUR,GBP,0.869500
2026-03-05,ecb,EUR,USD,1.161800
2026-03-06,bcb_ptax,EUR,BRL,6.123800
2026-03-06,bcb_ptax,USD,BRL,5.287800
2026-03-06,ecb,EUR,BRL,6.100200
2026-03-06,ecb,EUR,CHF,0.904500
2026-03-06,ecb,EUR,GBP,0.866930
2026-03-06,ecb,EUR,USD,1.156100
2026-03-09,bcb_ptax,EUR,BRL,6.044500
2026-03-09,bcb_ptax,USD,BRL,5.213900
2026-03-09,ecb,EUR,BRL,6.043500
2026-03-09,ecb,EUR,CHF,0.900800
2026-03-09,ecb,EUR,GBP,0.865300
2026-03-09,ecb,EUR,USD,1.155500
2026-03-10,bcb_ptax,EUR,BRL,6.012900
2026-03-10,bcb_ptax,USD,BRL,5.162200
2026-03-10,ecb,EUR,BRL,6.027600
2026-03-10,ecb,EUR,CHF,0.902700
2026-03-10,ecb,EUR,GBP,0.865450
2026-03-10,ecb,EUR,USD,1.164100
2026-03-11,bcb_ptax,EUR,BRL,5.968100
2026-03-11,bcb_ptax,USD,BRL,5.159600
2026-03-11,ecb,EUR,BRL,5.988700
2026-03-11,ecb,EUR,CHF,0.903100
2026-03-11,ecb,EUR,GBP,0.863630
2026-03-11,ecb,EUR,USD,1.158100
2026-03-12,bcb_ptax,EUR,BRL,5.997800
2026-03-12,bcb_ptax,USD,BRL,5.205100
2026-03-12,ecb,EUR,BRL,5.960700
2026-03-12,ecb,EUR,CHF,0.902800
2026-03-12,ecb,EUR,GBP,0.862430
2026-03-12,ecb,EUR,USD,1.154700
2026-03-13,bcb_ptax,EUR,BRL,6.012800
2026-03-13,bcb_ptax,USD,BRL,5.254100
2026-03-13,ecb,EUR,BRL,6.017200
2026-03-13,ecb,EUR,CHF,0.903400
2026-03-13,ecb,EUR,GBP,0.865030
2026-03-13,ecb,EUR,USD,1.147600
2026-03-16,bcb_ptax,EUR,BRL,6.047600
2026-03-16,bcb_ptax,USD,BRL,5.264700
2026-03-16,ecb,EUR,BRL,6.049200
2026-03-16,ecb,EUR,CHF,0.904100
2026-03-16,ecb,EUR,GBP,0.864080
2026-03-16,ecb,EUR,USD,1.147800
2026-03-17,bcb_ptax,EUR,BRL,5.996100
2026-03-17,bcb_ptax,USD,BRL,5.202200
2026-03-17,ecb,EUR,BRL,6.006400
2026-03-17,ecb,EUR,CHF,0.906800
2026-03-17,ecb,EUR,GBP,0.864300
2026-03-17,ecb,EUR,USD,1.153100
2026-03-18,bcb_ptax,EUR,BRL,6.000200
2026-03-18,bcb_ptax,USD,BRL,5.211200
2026-03-18,ecb,EUR,BRL,6.007900
2026-03-18,ecb,EUR,CHF,0.907300
2026-03-18,ecb,EUR,GBP,0.863930
2026-03-18,ecb,EUR,USD,1.150000
2026-03-19,bcb_ptax,EUR,BRL,6.055400
2026-03-19,bcb_ptax,USD,BRL,5.258700
2026-03-19,ecb,EUR,BRL,6.087700
2026-03-19,ecb,EUR,CHF,0.912100
2026-03-19,ecb,EUR,GBP,0.863880
2026-03-19,ecb,EUR,USD,1.148900
2026-03-20,bcb_ptax,EUR,BRL,6.095200
2026-03-20,bcb_ptax,USD,BRL,5.280000
2026-03-20,ecb,EUR,BRL,6.072400
2026-03-20,ecb,EUR,CHF,0.909600
2026-03-20,ecb,EUR,GBP,0.864380
2026-03-20,ecb,EUR,USD,1.155500
2026-03-23,bcb_ptax,EUR,BRL,6.075700
2026-03-23,bcb_ptax,USD,BRL,5.244000
2026-03-23,ecb,EUR,BRL,6.098900
2026-03-23,ecb,EUR,CHF,0.912400
2026-03-23,ecb,EUR,GBP,0.864200
2026-03-23,ecb,EUR,USD,1.159600
2026-03-24,bcb_ptax,EUR,BRL,6.090400
2026-03-24,bcb_ptax,USD,BRL,5.259900
2026-03-24,ecb,EUR,BRL,6.094900
2026-03-24,ecb,EUR,CHF,0.914500
2026-03-24,ecb,EUR,GBP,0.865410
2026-03-24,ecb,EUR,USD,1.157200
2026-03-25,bcb_ptax,EUR,BRL,6.048200
2026-03-25,bcb_ptax,USD,BRL,5.227500
2026-03-25,ecb,EUR,BRL,6.066100
2026-03-25,ecb,EUR,CHF,0.915300
2026-03-25,ecb,EUR,GBP,0.865580
2026-03-25,ecb,EUR,USD,1.159200
2026-03-26,bcb_ptax,EUR,BRL,6.037400
2026-03-26,bcb_ptax,USD,BRL,5.230800
2026-03-26,ecb,EUR,BRL,6.042500
2026-03-26,ecb,EUR,CHF,0.915100
2026-03-26,ecb,EUR,GBP,0.865150
2026-03-26,ecb,EUR,USD,1.153900
2026-03-27,bcb_ptax,EUR,BRL,6.033700
2026-03-27,bcb_ptax,USD,BRL,5.237600
2026-03-27,ecb,EUR,BRL,6.053500
2026-03-27,ecb,EUR,CHF,0.917800
2026-03-27,ecb,EUR,GBP,0.867200
2026-03-27,ecb,EUR,USD,1.151700
2026-03-30,bcb_ptax,EUR,BRL,5.997000
2026-03-30,bcb_ptax,USD,BRL,5.235300
2026-03-30,ecb,EUR,BRL,6.017900
2026-03-30,ecb,EUR,CHF,0.918700
2026-03-30,ecb,EUR,GBP,0.868030
2026-03-30,ecb,EUR,USD,1.148400
2026-03-31,bcb_ptax,EUR,BRL,6.011700
2026-03-31,bcb_ptax,USD,BRL,5.219400
2026-03-31,ecb,EUR,BRL,6.006500
2026-03-31,ecb,EUR,CHF,0.919400
2026-03-31,ecb,EUR,GBP,0.868330
2026-03-31,ecb,EUR,USD,1.149800
2026-04-01,bcb_ptax,EUR,BRL,5.993500
2026-04-01,bcb_ptax,USD,BRL,5.160600
2026-04-01,ecb,EUR,BRL,5.987900
2026-04-01,ecb,EUR,CHF,0.919100
2026-04-01,ecb,EUR,GBP,0.871130
2026-04-01,ecb,EUR,USD,1.160500
2026-04-02,bcb_ptax,EUR,BRL,5.964100
2026-04-02,bcb_ptax,USD,BRL,5.165500
2026-04-02,ecb,EUR,BRL,5.972000
2026-04-02,ecb,EUR,CHF,0.921300
2026-04-02,ecb,EUR,GBP,0.872530
2026-04-02,ecb,EUR,USD,1.152500
2026-04-06,bcb_ptax,EUR,BRL,5.949900
2026-04-06,bcb_ptax,USD,BRL,5.153200
2026-04-07,bcb_ptax,EUR,BRL,5.974000
2026-04-07,bcb_ptax,USD,BRL,5.162500
2026-04-07,ecb,EUR,BRL,5.950600
2026-04-07,ecb,EUR,CHF,0.924200
2026-04-07,ecb,EUR,GBP,0.872580
2026-04-07,ecb,EUR,USD,1.155700
2026-04-08,bcb_ptax,EUR,BRL,5.948600
2026-04-08,bcb_ptax,USD,BRL,5.089900
2026-04-08,ecb,EUR,BRL,5.948800
2026-04-08,ecb,EUR,CHF,0.922300
2026-04-08,ecb,EUR,GBP,0.868930
2026-04-08,ecb,EUR,USD,1.170600
2026-04-09,bcb_ptax,EUR,BRL,5.949100
2026-04-09,bcb_ptax,USD,BRL,5.082100
2026-04-09,ecb,EUR,BRL,5.958400
2026-04-09,ecb,EUR,CHF,0.924000
2026-04-09,ecb,EUR,GBP,0.870530
2026-04-09,ecb,EUR,USD,1.168500
2026-04-10,bcb_ptax,EUR,BRL,5.888300
2026-04-10,bcb_ptax,USD,BRL,5.022900
2026-04-10,ecb,EUR,BRL,5.919100
2026-04-10,ecb,EUR,CHF,0.924100
2026-04-10,ecb,EUR,GBP,0.871050
2026-04-10,ecb,EUR,USD,1.171100
2026-04-13,bcb_ptax,EUR,BRL,5.884100
2026-04-13,bcb_ptax,USD,BRL,5.024400
2026-04-13,ecb,EUR,BRL,5.874000
2026-04-13,ecb,EUR,CHF,0.924200
2026-04-13,ecb,EUR,GBP,0.870580
2026-04-13,ecb,EUR,USD,1.168400
2026-04-14,bcb_ptax,EUR,BRL,5.872600
2026-04-14,bcb_ptax,USD,BRL,4.980600
2026-04-14,ecb,EUR,BRL,5.874700
2026-04-14,ecb,EUR,CHF,0.921000
2026-04-14,ecb,EUR,GBP,0.869130
2026-04-14,ecb,EUR,USD,1.179300
2026-04-15,bcb_ptax,EUR,BRL,5.891000
2026-04-15,bcb_ptax,USD,BRL,4.992800
2026-04-15,ecb,EUR,BRL,5.887800
2026-04-15,ecb,EUR,CHF,0.922000
2026-04-15,ecb,EUR,GBP,0.869350
2026-04-15,ecb,EUR,USD,1.178000
2026-04-16,bcb_ptax,EUR,BRL,5.892300
2026-04-16,bcb_ptax,USD,BRL,5.000700
2026-04-16,ecb,EUR,BRL,5.877100
2026-04-16,ecb,EUR,CHF,0.923000
2026-04-16,ecb,EUR,GBP,0.869930
2026-04-16,ecb,EUR,USD,1.178200
2026-04-17,bcb_ptax,EUR,BRL,5.864500
2026-04-17,bcb_ptax,USD,BRL,4.969500
2026-04-17,ecb,EUR,BRL,5.870700
2026-04-17,ecb,EUR,CHF,0.923100
2026-04-17,ecb,EUR,GBP,0.871680
2026-04-17,ecb,EUR,USD,1.179700
2026-04-20,bcb_ptax,EUR,BRL,5.874100
2026-04-20,bcb_ptax,USD,BRL,4.984400
2026-04-20,ecb,EUR,BRL,5.860100
2026-04-20,ecb,EUR,CHF,0.918900
2026-04-20,ecb,EUR,GBP,0.870450
2026-04-20,ecb,EUR,USD,1.176000
2026-04-21,ecb,EUR,BRL,5.841000
2026-04-21,ecb,EUR,CHF,0.917200
2026-04-21,ecb,EUR,GBP,0.870350
2026-04-21,ecb,EUR,USD,1.176700
2026-04-22,bcb_ptax,EUR,BRL,5.816400
2026-04-22,bcb_ptax,USD,BRL,4.965300
2026-04-22,ecb,EUR,BRL,5.833300
2026-04-22,ecb,EUR,CHF,0.917500
2026-04-22,ecb,EUR,GBP,0.869030
2026-04-22,ecb,EUR,USD,1.173300
2026-04-23,bcb_ptax,EUR,BRL,5.798500
2026-04-23,bcb_ptax,USD,BRL,4.953900
2026-04-23,ecb,EUR,BRL,5.803700
2026-04-23,ecb,EUR,CHF,0.917700
2026-04-23,ecb,EUR,GBP,0.865750
2026-04-23,ecb,EUR,USD,1.169400
2026-04-24,bcb_ptax,EUR,BRL,5.869200
2026-04-24,bcb_ptax,USD,BRL,5.008300
2026-04-24,ecb,EUR,BRL,5.856700
2026-04-24,ecb,EUR,CHF,0.919900
2026-04-24,ecb,EUR,GBP,0.868030
2026-04-24,ecb,EUR,USD,1.171200
2026-04-27,bcb_ptax,EUR,BRL,5.830300
2026-04-27,bcb_ptax,USD,BRL,4.970000
2026-04-27,ecb,EUR,BRL,5.837000
2026-04-27,ecb,EUR,CHF,0.921000
2026-04-27,ecb,EUR,GBP,0.865800
2026-04-27,ecb,EUR,USD,1.174900
2026-04-28,bcb_ptax,EUR,BRL,5.843200
2026-04-28,bcb_ptax,USD,BRL,4.987800
2026-04-28,ecb,EUR,BRL,5.842000
2026-04-28,ecb,EUR,CHF,0.923800
2026-04-28,ecb,EUR,GBP,0.867150
2026-04-28,ecb,EUR,USD,1.168000
2026-04-29,bcb_ptax,EUR,BRL,5.845700
2026-04-29,bcb_ptax,USD,BRL,4.998500
2026-04-29,ecb,EUR,BRL,5.835900
2026-04-29,ecb,EUR,CHF,0.923600
2026-04-29,ecb,EUR,GBP,0.866430
2026-04-29,ecb,EUR,USD,1.170600
2026-04-30,bcb_ptax,EUR,BRL,5.851100
2026-04-30,bcb_ptax,USD,BRL,4.988600
2026-04-30,ecb,EUR,BRL,5.829200
2026-04-30,ecb,EUR,CHF,0.919000
2026-04-30,ecb,EUR,GBP,0.866250
2026-04-30,ecb,EUR,USD,1.170200
2026-05-04,bcb_ptax,EUR,BRL,5.800700
2026-05-04,bcb_ptax,USD,BRL,4.958700
2026-05-04,ecb,EUR,BRL,5.810300
2026-05-04,ecb,EUR,CHF,0.917300
2026-05-04,ecb,EUR,GBP,0.863580
2026-05-04,ecb,EUR,USD,1.170000
2026-05-05,bcb_ptax,EUR,BRL,5.764800
2026-05-05,bcb_ptax,USD,BRL,4.924200
2026-05-05,ecb,EUR,BRL,5.787500
2026-05-05,ecb,EUR,CHF,0.916500
2026-05-05,ecb,EUR,GBP,0.863430
2026-05-05,ecb,EUR,USD,1.168600
2026-05-06,bcb_ptax,EUR,BRL,5.791200
2026-05-06,bcb_ptax,USD,BRL,4.927400
2026-05-06,ecb,EUR,BRL,5.774200
2026-05-06,ecb,EUR,CHF,0.916500
2026-05-06,ecb,EUR,GBP,0.863700
2026-05-06,ecb,EUR,USD,1.176200
2026-05-07,bcb_ptax,EUR,BRL,5.784400
2026-05-07,bcb_ptax,USD,BRL,4.917000
2026-05-07,ecb,EUR,BRL,5.787000
2026-05-07,ecb,EUR,CHF,0.915700
2026-05-07,ecb,EUR,GBP,0.864100
2026-05-07,ecb,EUR,USD,1.177000
2026-05-08,bcb_ptax,EUR,BRL,5.769100
2026-05-08,bcb_ptax,USD,BRL,4.899900
2026-05-08,ecb,EUR,BRL,5.779400
2026-05-08,ecb,EUR,CHF,0.915600
2026-05-08,ecb,EUR,GBP,0.864100
2026-05-08,ecb,EUR,USD,1.176100
2026-05-11,bcb_ptax,EUR,BRL,5.769500
2026-05-11,bcb_ptax,USD,BRL,4.897300
2026-05-11,ecb,EUR,BRL,5.767100
2026-05-11,ecb,EUR,CHF,0.916300
2026-05-11,ecb,EUR,GBP,0.864880
2026-05-11,ecb,EUR,USD,1.176500
2026-05-12,bcb_ptax,EUR,BRL,5.746500
2026-05-12,bcb_ptax,USD,BRL,4.897700
2026-05-12,ecb,EUR,BRL,5.756100
2026-05-12,ecb,EUR,CHF,0.917200
2026-05-12,ecb,EUR,GBP,0.868030
2026-05-12,ecb,EUR,USD,1.173800
2026-05-13,bcb_ptax,EUR,BRL,5.752200
2026-05-13,bcb_ptax,USD,BRL,4.911800
2026-05-13,ecb,EUR,BRL,5.744900
2026-05-13,ecb,EUR,CHF,0.915500
2026-05-13,ecb,EUR,GBP,0.867130
2026-05-13,ecb,EUR,USD,1.171500
2026-05-14,bcb_ptax,EUR,BRL,5.816700
2026-05-14,bcb_ptax,USD,BRL,4.980900
2026-05-14,ecb,EUR,BRL,5.847500
2026-05-14,ecb,EUR,CHF,0.915000
2026-05-14,ecb,EUR,GBP,0.866180
2026-05-14,ecb,EUR,USD,1.170200
2026-05-15,bcb_ptax,EUR,BRL,5.890000
2026-05-15,bcb_ptax,USD,BRL,5.065400
2026-05-15,ecb,EUR,BRL,5.851700
2026-05-15,ecb,EUR,CHF,0.914400
2026-05-15,ecb,EUR,GBP,0.870500
2026-05-15,ecb,EUR,USD,1.162800
2026-05-18,bcb_ptax,EUR,BRL,5.835800
2026-05-18,bcb_ptax,USD,BRL,5.009300
2026-05-18,ecb,EUR,BRL,5.869700
2026-05-18,ecb,EUR,CHF,0.914400
2026-05-18,ecb,EUR,GBP,0.870200
2026-05-18,ecb,EUR,USD,1.164800
2026-05-19,bcb_ptax,EUR,BRL,5.845400
2026-05-19,bcb_ptax,USD,BRL,5.037800
2026-05-19,ecb,EUR,BRL,5.837000
2026-05-19,ecb,EUR,CHF,0.915000
2026-05-19,ecb,EUR,GBP,0.866710
2026-05-19,ecb,EUR,USD,1.162000
2026-05-20,bcb_ptax,EUR,BRL,5.845000
2026-05-20,bcb_ptax,USD,BRL,5.030100
2026-05-20,ecb,EUR,BRL,5.834700
2026-05-20,ecb,EUR,CHF,0.916500
2026-05-20,ecb,EUR,GBP,0.865550
2026-05-20,ecb,EUR,USD,1.160000
2026-05-21,bcb_ptax,EUR,BRL,5.803400
2026-05-21,bcb_ptax,USD,BRL,5.007700
2026-05-21,ecb,EUR,BRL,5.813400
2026-05-21,ecb,EUR,CHF,0.914500
2026-05-21,ecb,EUR,GBP,0.864330
2026-05-21,ecb,EUR,USD,1.159900
2026-05-22,bcb_ptax,EUR,BRL,5.818200
2026-05-22,bcb_ptax,USD,BRL,5.014000
2026-05-22,ecb,EUR,BRL,5.816500
2026-05-22,ecb,EUR,CHF,0.911900
2026-05-22,ecb,EUR,GBP,0.864180
2026-05-22,ecb,EUR,USD,1.159500
2026-05-25,bcb_ptax,EUR,BRL,5.830400
2026-05-25,bcb_ptax,USD,BRL,5.007200
2026-05-25,ecb,EUR,BRL,5.824500
2026-05-25,ecb,EUR,CHF,0.909900
2026-05-25,ecb,EUR,GBP,0.862550
2026-05-25,ecb,EUR,USD,1.164300
2026-05-26,bcb_ptax,EUR,BRL,5.835000
2026-05-26,bcb_ptax,USD,BRL,5.021100
2026-05-26,ecb,EUR,BRL,5.840400
2026-05-26,ecb,EUR,CHF,0.913600
2026-05-26,ecb,EUR,GBP,0.863750
2026-05-26,ecb,EUR,USD,1.163400
2026-05-27,bcb_ptax,EUR,BRL,5.882800
2026-05-27,bcb_ptax,USD,BRL,5.057900
2026-05-27,ecb,EUR,BRL,5.871800
2026-05-27,ecb,EUR,CHF,0.915300
2026-05-27,ecb,EUR,GBP,0.866180
2026-05-27,ecb,EUR,USD,1.163700
2026-05-28,bcb_ptax,EUR,BRL,5.884700
2026-05-28,bcb_ptax,USD,BRL,5.051700
2026-05-28,ecb,EUR,BRL,5.892800
2026-05-28,ecb,EUR,CHF,0.916700
2026-05-28,ecb,EUR,GBP,0.866650
2026-05-28,ecb,EUR,USD,1.161700
2026-05-29,bcb_ptax,EUR,BRL,5.906000
2026-05-29,bcb_ptax,USD,BRL,5.056900
2026-05-29,ecb,EUR,BRL,5.874700
2026-05-29,ecb,EUR,CHF,0.911100
2026-05-29,ecb,EUR,GBP,0.867230
2026-05-29,ecb,EUR,USD,1.164400
2026-06-01,bcb_ptax,EUR,BRL,5.847200
2026-06-01,bcb_ptax,USD,BRL,5.030300
2026-06-01,ecb,EUR,BRL,5.851500
2026-06-01,ecb,EUR,CHF,0.912800
2026-06-01,ecb,EUR,GBP,0.864930
2026-06-01,ecb,EUR,USD,1.164600
2026-06-02,bcb_ptax,EUR,BRL,5.839600
2026-06-02,bcb_ptax,USD,BRL,5.016000
2026-06-02,ecb,EUR,BRL,5.831000
2026-06-02,ecb,EUR,CHF,0.914900
2026-06-02,ecb,EUR,GBP,0.864650
