date,indicator,value,unit,series_code
2026-02-02,ipca_monthly,0.7000,pct_per_month,433
2026-02-02,selic_target,15.0000,pct_per_year,432
2026-02-03,ipca_monthly,0.7000,pct_per_month,433
2026-02-03,selic_target,15.0000,pct_per_year,432
2026-02-04,ipca_monthly,0.7000,pct_per_month,433
2026-02-04,selic_target,15.0000,pct_per_year,432
2026-02-05,ipca_monthly,0.7000,pct_per_month,433
2026-02-05,selic_target,15.0000,pct_per_year,432
2026-02-06,ipca_monthly,0.7000,pct_per_month,433
2026-02-06,selic_target,15.0000,pct_per_year,432
2026-02-09,ipca_monthly,0.7000,pct_per_month,433
2026-02-09,selic_target,15.0000,pct_per_year,432
2026-02-10,ipca_monthly,0.7000,pct_per_month,433
2026-02-10,selic_target,15.0000,pct_per_year,432
2026-02-11,ipca_monthly,0.7000,pct_per_month,433
2026-02-11,selic_target,15.0000,pct_per_year,432
2026-02-12,ipca_monthly,0.7000,pct_per_month,433
2026-02-12,selic_target,15.0000,pct_per_year,432
2026-02-13,ipca_monthly,0.7000,pct_per_month,433
2026-02-13,selic_target,15.0000,pct_per_year,432
2026-02-16,ipca_monthly,0.7000,pct_per_month,433
2026-02-16,selic_target,15.0000,pct_per_year,432
2026-02-17,ipca_monthly,0.7000,pct_per_month,433
2026-02-17,selic_target,15.0000,pct_per_year,432
2026-02-18,ipca_monthly,0.7000,pct_per_month,433
2026-02-18,selic_target,15.0000,pct_per_year,432
2026-02-19,ipca_monthly,0.7000,pct_per_month,433
2026-02-19,selic_target,15.0000,pct_per_year,432
2026-02-20,ipca_monthly,0.7000,pct_per_month,433
2026-02-20,selic_target,15.0000,pct_per_year,432
2026-02-23,ipca_monthly,0.7000,pct_per_month,433
2026-02-23,selic_target,15.0000,pct_per_year,432
2026-02-24,ipca_monthly,0.7000,pct_per_month,433
2026-02-24,selic_target,15.0000,pct_per_year,432
2026-02-25,ipca_monthly,0.7000,pct_per_month,433
2026-02-25,selic_target,15.0000,pct_per_year,432
2026-02-26,ipca_monthly,0.7000,pct_per_month,433
2026-02-26,selic_target,15.0000,pct_per_year,432
2026-02-27,ipca_monthly,0.7000,pct_per_month,433
2026-02-27,selic_target,15.0000,pct_per_year,432
2026-03-02,ipca_monthly,0.8800,pct_per_month,433
2026-03-02,selic_target,15.0000,pct_per_year,432
2026-03-03,ipca_monthly,0.8800,pct_per_month,433
2026-03-03,selic_target,15.0000,pct_per_year,432
2026-03-04,ipca_monthly,0.8800,pct_per_month,433
2026-03-04,selic_target,15.0000,pct_per_year,432
2026-03-05,ipca_monthly,0.8800,pct_per_month,433
2026-03-05,selic_target,15.0000,pct_per_year,432
2026-03-06,ipca_monthly,0.8800,pct_per_month,433
2026-03-06,selic_target,15.0000,pct_per_year,432
2026-03-09,ipca_monthly,0.8800,pct_per_month,433
2026-03-09,selic_target,15.0000,pct_per_year,432
2026-03-10,ipca_monthly,0.8800,pct_per_month,433
2026-03-10,selic_target,15.0000,pct_per_year,432
2026-03-11,ipca_monthly,0.8800,pct_per_month,433
2026-03-11,selic_target,15.0000,pct_per_year,432
2026-03-12,ipca_monthly,0.8800,pct_per_month,433
2026-03-12,selic_target,15.0000,pct_per_year,432
2026-03-13,ipca_monthly,0.8800,pct_per_month,433
2026-03-13,selic_target,15.0000,pct_per_year,432
2026-03-16,ipca_monthly,0.8800,pct_per_month,433
2026-03-16,selic_target,15.0000,pct_per_year,432
2026-03-17,ipca_monthly,0.8800,pct_per_month,433
2026-03-17,selic_target,15.0000,pct_per_year,432
2026-03-18,ipca_monthly,0.8800,pct_per_month,433
2026-03-18,selic_target,15.0000,pct_per_year,432
2026-03-19,ipca_monthly,0.8800,pct_per_month,433
2026-03-19,selic_target,14.7500,pct_per_year,432
2026-03-20,ipca_monthly,0.8800,pct_per_month,433
2026-03-20,selic_target,14.7500,pct_per_year,432
2026-03-23,ipca_monthly,0.8800,pct_per_month,433
2026-03-23,selic_target,14.7500,pct_per_year,432
2026-03-24,ipca_monthly,0.8800,pct_per_month,433
2026-03-24,selic_target,14.7500,pct_per_year,432
2026-03-25,ipca_monthly,0.8800,pct_per_month,433
2026-03-25,selic_target,14.7500,pct_per_year,432
2026-03-26,ipca_monthly,0.8800,pct_per_month,433
2026-03-26,selic_target,14.7500,pct_per_year,432
