date,ecb_eur_brl,ptax_eur_brl,spread_brl,spread_pct
2026-02-02,6.222200,6.201600,-0.020600,-0.3311
2026-02-03,6.168500,6.171200,+0.002700,+0.0438
2026-02-04,6.170700,6.176800,+0.006100,+0.0989
2026-02-05,6.205900,6.200200,-0.005700,-0.0918
2026-02-06,6.176700,6.186700,+0.010000,+0.1619
2026-02-09,6.172500,6.188000,+0.015500,+0.2511
2026-02-10,6.192900,6.198300,+0.005400,+0.0872
2026-02-11,6.175300,6.147700,-0.027600,-0.4469
2026-02-12,6.146100,6.142500,-0.003600,-0.0586
2026-02-13,6.191600,6.195600,+0.004000,+0.0646
2026-02-18,6.186500,6.174600,-0.011900,-0.1924
2026-02-19,6.151900,6.147500,-0.004400,-0.0715
2026-02-20,6.135800,6.131000,-0.004800,-0.0782
2026-02-23,6.105900,6.090300,-0.015600,-0.2555
2026-02-24,6.096800,6.084500,-0.012300,-0.2017
2026-02-25,6.043700,6.070900,+0.027200,+0.4501
2026-02-26,6.055600,6.063100,+0.007500,+0.1239
2026-02-27,6.086200,6.079500,-0.006700,-0.1101
2026-03-02,6.090800,6.074200,-0.016600,-0.2725
2026-03-03,6.085500,6.119700,+0.034200,+0.5620
2026-03-04,6.080500,6.063900,-0.016600,-0.2730
2026-03-05,6.097600,6.074900,-0.022700,-0.3723
2026-03-06,6.100200,6.123800,+0.023600,+0.3869
2026-03-09,6.043500,6.044500,+0.001000,+0.0165
2026-03-10,6.027600,6.012900,-0.014700,-0.2439
2026-03-11,5.988700,5.968100,-0.020600,-0.3440
2026-03-12,5.960700,5.997800,+0.037100,+0.6224
2026-03-13,6.017200,6.012800,-0.004400,-0.0731
2026-03-16,6.049200,6.047600,-0.001600,-0.0264
2026-03-17,6.006400,5.996100,-0.010300,-0.1715
2026-03-18,6.007900,6.000200,-0.007700,-0.1282
2026-03-19,6.087700,6.055400,-0.032300,-0.5306
2026-03-20,6.072400,6.095200,+0.022800,+0.3755
2026-03-23,6.098900,6.075700,-0.023200,-0.3804
2026-03-24,6.094900,6.090400,-0.004500,-0.0738
2026-03-25,6.066100,6.048200,-0.017900,-0.2951
2026-03-26,6.042500,6.037400,-0.005100,-0.0844
2026-03-27,6.053500,6.033700,-0.019800,-0.3271
2026-03-30,6.017900,5.997000,-0.020900,-0.3473
2026-03-31,6.006500,6.011700,+0.005200,+0.0866
2026-04-01,5.987900,5.993500,+0.005600,+0.0935
2026-04-02,5.972000,5.964100,-0.007900,-0.1323
2026-04-07,5.950600,5.974000,+0.023400,+0.3932
2026-04-08,5.948800,5.948600,-0.000200,-0.0034
2026-04-09,5.958400,5.949100,-0.009300,-0.1561
2026-04-10,5.919100,5.888300,-0.030800,-0.5203
2026-04-13,5.874000,5.884100,+0.010100,+0.1719
2026-04-14,5.874700,5.872600,-0.002100,-0.0357
2026-04-15,5.887800,5.891000,+0.003200,+0.0543
2026-04-16,5.877100,5.892300,+0.015200,+0.2586
2026-04-17,5.870700,5.864500,-0.006200,-0.1056
2026-04-20,5.860100,5.874100,+0.014000,+0.2389
2026-04-22,5.833300,5.816400,-0.016900,-0.2897
2026-04-23,5.803700,5.798500,-0.005200,-0.0896
2026-04-24,5.856700,5.869200,+0.012500,+0.2134
2026-04-27,5.837000,5.830300,-0.006700,-0.1148
2026-04-28,5.842000,5.843200,+0.001200,+0.0205
2026-04-29,5.835900,5.845700,+0.009800,+0.1679
2026-04-30,5.829200,5.851100,+0.021900,+0.3757
2026-05-04,5.810300,5.800700,-0.009600,-0.1652
2026-05-05,5.787500,5.764800,-0.022700,-0.3922
2026-05-06,5.774200,5.791200,+0.017000,+0.2944
2026-05-07,5.787000,5.784400,-0.002600,-0.0449
2026-05-08,5.779400,5.769100,-0.010300,-0.1782
2026-05-11,5.767100,5.769500,+0.002400,+0.0416
2026-05-12,5.756100,5.746500,-0.009600,-0.1668
2026-05-13,5.744900,5.752200,+0.007300,+0.1271
2026-05-14,5.847500,5.816700,-0.030800,-0.5267
2026-05-15,5.851700,5.890000,+0.038300,+0.6545
2026-05-18,5.869700,5.835800,-0.033900,-0.5775
2026-05-19,5.837000,5.845400,+0.008400,+0.1439
2026-05-20,5.834700,5.845000,+0.010300,+0.1765
2026-05-21,5.813400,5.803400,-0.010000,-0.1720
2026-05-22,5.816500,5.818200,+0.001700,+0.0292
2026-05-25,5.824500,5.830400,+0.005900,+0.1013
2026-05-26,5.840400,5.835000,-0.005400,-0.0925
2026-05-27,5.871800,5.882800,+0.011000,+0.1873
2026-05-28,5.892800,5.884700,-0.008100,-0.1375
2026-05-29,5.874700,5.906000,+0.031300,+0.5328
2026-06-01,5.851500,5.847200,-0.004300,-0.0735
2026-06-02,5.831000,5.839600,+0.008600,+0.1475
2026-06-03,5.828400,5.851200,+0.022800,+0.3912
2026-06-05,5.889700,5.910000,+0.020300,+0.3447
2026-06-08,5.935300,5.968200,+0.032900,+0.5543
2026-06-09,5.975100,5.974200,-0.000900,-0.0151
2026-06-10,5.989600,5.979100,-0.010500,-0.1753
2026-06-11,5.953600,5.927700,-0.025900,-0.4350
2026-06-12,5.907600,5.882700,-0.024900,-0.4215
2026-06-15,5.861300,5.849400,-0.011900,-0.2030
2026-06-16,5.866900,5.898100,+0.031200,+0.5318
2026-06-17,5.892900,5.871300,-0.021600,-0.3665
2026-06-18,5.898900,5.920500,+0.021600,+0.3662
2026-06-19,5.917300,5.897800,-0.019500,-0.3295
2026-06-22,5.902000,5.876000,-0.026000,-0.4405
2026-06-23,5.892500,5.890400,-0.002100,-0.0356
2026-06-24,5.896300,5.912600,+0.016300,+0.2764
2026-06-25,5.900000,5.907900,+0.007900,+0.1339
2026-06-26,5.901000,5.895300,-0.005700,-0.0966
2026-06-29,5.889900,5.908700,+0.018800,+0.3192
2026-06-30,5.900300,5.910600,+0.010300,+0.1746
2026-07-01,5.904800,5.914500,+0.009700,+0.1643
2026-07-02,5.928600,5.947200,+0.018600,+0.3137
2026-07-03,5.948600,5.915400,-0.033200,-0.5581
2026-07-06,5.913000,5.904300,-0.008700,-0.1471
2026-07-07,5.878100,5.878600,+0.000500,+0.0085
2026-07-08,5.880200,5.874900,-0.005300,-0.0901
2026-07-09,5.883700,5.872000,-0.011700,-0.1989
2026-07-10,5.850500,5.843400,-0.007100,-0.1214
2026-07-13,5.843900,5.836400,-0.007500,-0.1283
